projectName,plotBearing,street,locality,lat,lon,CertificateNo,project_Village,project_Taluka,project_District,project_Division,project_State,pincode,
Royale,12/1/1/2 P to 12/1/1/9 P,Pakhal Road,Wadala,19.9772952618056,73.7983822238905,P51600008360,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422006,
MANORATH RESIDENCY PHASE - 2,"27/1/3,27/1/4/1",Sayli Road,Near Lions School,20.268959265619,73.0125010748993,P49600000013,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
Bloomdale Building 04,17 Part 18 Part 19 Part 26 Part 27 Part 28 29 Part 30 Part 31 Part 35 Part 36 Part 39 Part Governmen,Wardha Road MIHAN,Khapri,21.042002,79.036509,P50500006445,Khapari,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441108,
Viraj Shopping Mall,Sheet No 10C Survey No 107/2 Plot No 1,Not Available,Not Available,20.1072693,77.7165925,P51000001945,Digras,Digras,Yavatmal,Amravati,MAHARASHTRA,445203,
HORIZON RESIDENCY B BUILDING,24/1/1 AND 44/2,Balaji Mandir Road,Silvassa,20.281283,72.997295,P49600000036,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
MEERA BHAKTI RESIDENCY,"1316/1, 1319/1, A WARD",RANKALA ROAD,A WARD,16.694999,74.209122,P53000000915,Kolhapur (M Corp.),Karvir,Kolhapur,Pune,MAHARASHTRA,416012,
HORIZON RESIDENCY C BUILDING,24/1/1 AND 44/2,Balaji Mandir Road,Silvassa,20.281804,72.997428,P49600000011,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
SHAKAMBARI TERRACE,"SURVEY NO. 26/1, PLOT NO. 1",Not Available,Not Available,20.676286,77.043257,P50100002167,Malkapur (CT),Akola,Akola,Amravati,MAHARASHTRA,444005,
SUVARNABHOOMI,32/1 32/2,DONGARGAON,NAGPUR GRAMIN,20.886578,78.990881,P50500008330,Dongargaon (535927),Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,440018,
BUSINESS SQUARE,CTS NO 7007/1,Not Available,Not Available,20.000416,73.769277,P51600000211,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422002,
EKDANT SQUARE-RIDDHI WING,227/2/69/3/1,Not Available,Not Available,20.278818,73.00207,P49600000037,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
RAM-TECH HEIGHTS,"4/5,64,8",Not Available,Not Available,20.713796,77.010749,P50100003967,Akola (M Corp.),Akola,Akola,Amravati,MAHARASHTRA,444001,
DHANBHOOMI 1,149/1 149/2,PANJRI,HINGNA TAH ,21.0735488,78.9613486,P50500008320,Panjari,Hingna,Nagpur,Nagpur,MAHARASHTRA,440023,
RAJESHREE TOWER,SURVEY NO 227/2P/72/2,Not Available,Not Available,21.0735488,78.9613486,P49600000018,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
AKASHGANGA-C,1103/1,MANDAVGAN,LAXMINAGAR,18.618403,74.699759,P52200000214,Shrigonda(MCL),Shrigonda,Ahmednagar,Nashik,MAHARASHTRA,413701,
Bloomdale Bloomdale 07,17 Part 18 Part 19 Part 26 Part 27 Part 28 29 Part 30 Part 31 Part 35 Part 36 Part 39 Part Governmen,Wardha Road MIHAN,Khapri,21.04174,79.036553,P50500005448,Khapari,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441108,
VEDANT RESIDENCY,729/1,Not Available,Not Available,21.0494858,79.043318,P49600000024,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
GOLDSTAR DECENT HOMES,S NO 104 VILLAGE GHODBUNDER TALUKA AND DIST THANE NEAR MIRAROAD EAST,Not Available,Not Available,19.281762,72.881768,P51700000053,Mira-Bhayandar (M Corp.),Thane,Thane,Konkan,MAHARASHTRA,401107,
construction of 26 shops and 03 halls at khat road Bhandara,1165,Not Available,Not Available,19.2855196,72.8692967,P50600012640,Bhandara (M Cl),Bhandara,Bhandara,Nagpur,MAHARASHTRA,441904,
JALARAM DARSHAN PHASE II,163/2/1,Not Available,Not Available,19.2855196,72.8692967,P49600000014,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
Ekdant Srushti Phase-1,Gut No 70 Plot No 20 To 22,Not Available,Not Available,19.883247,75.492301,P51500001817,Aurangabad (CB),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
KARAN COMPLEX,393/1 AND 394/3,Kathiria,Nani Daman,20.4267761,72.8470073,P49500000033,Not Available,Daman,Daman,DAMAN & DIU,DAMAN & DIU,396210,
SHREE SHARDUL NEST,"PLOT NO 22 AND 23 SN.NO.162/1, 163/2 MOUJA- RAHATGAON",Not Available,Not Available,20.965891,77.785107,P50300007973,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444603,
Bloomdale Building 08,17 Part 18 Part 19 Part 26 Part 27 Part 28 29 Part 30 Part 31 Part 35 Part 36 Part 39 Part Governmen,Wardha Road MIHAN,Khapri,21.041805,79.037136,P50500008536,Khapari,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441108,
ARV RIVERDALE,153/1/15/1 153/1/15/3,Not Available,Not Available,21.0494858,79.043318,P49600000027,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
BALAJI GEMS,"SURVEY NO 280/2/1 , 281/3/1",ULTAN FALIYA,SILVASSA,18.5573082,73.7878385,P49600000015,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
Gini Viviana F Bldg Phase 2,Survey No 38-1 Balewadi Pune 411045,Not Available,Not Available,18.58003,73.768282,P52100000983,Baner,Haveli,Pune,Pune,MAHARASHTRA,411045,
TIRUPATI CITY PHASE IV,17/2,MAHARASHTRA,WASHIM,20.132275180092,77.1188881908894,P50200001506,Adgaon N. Kata,Washim,Washim,Amravati,MAHARASHTRA,444505,
Bloomdale Building 09,17 Part 18 Part 19 Part 26 Part 27 Part 28 29 Part 30 Part 31 Part 35 Part 36 Part 39 Part Governmen,Wardha Road MIHAN,Khapri,21.041655,79.036126,P50500006483,Khapari,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441108,
Aurum,"Gut no No. 52/6 Plot No. 96, 103 Opp Janki Hotel , Garkheda, Aurangabad.",Not Available,Not Available,18.586059,73.736048,P51500001970,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
SAI KAWACH,290,Not Available,Not Available,18.586059,73.736048,P52200012033,Wadzari Kh.,Sangamner,Ahmednagar,Nashik,MAHARASHTRA,422611,
Athashri Xion,"SURVEY NO 15/5 AND 6 AND 7 AND 8, 16, 17/1, 17/2 /1 AND 2 , 17/3 , 18/1 AND 2",Not Available,Not Available,18.593395,73.745541,P52100000051,Hinjavadi (CT),Mulshi,Pune,Pune,MAHARASHTRA,411057,
Saffron Height,30/1/2,Not Available,Not Available,20.269179,72.979843,P49600000016,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
Bloomdale Row House 5,17 Part 18 Part 19 Part 26 Part 27 Part 28 29 Part 30 Part 31 Part 35 Part 36 Part 39 Part ,Wardha Road MIHAN,Khapri,21.041871,79.036522,P50500007925,Khapari,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441108,
SILVER CREST,16/1/12,Not Available,Not Available,18.6103179,73.7889689,P52100000641,Pimpri Chinchawad (M Corp.),Haveli,Pune,Pune,MAHARASHTRA,411017,
Vrindavan Garden,Survey No.13/Layout Plot No.2,Not Available,Not Available,18.6103179,73.7889689,P50100003137,Akola (M Corp.),Akola,Akola,Amravati,MAHARASHTRA,444001,
Pride Phoenix Building - A,"01, 02 Gut No 736",Jalna Road,Chikalthana,19.8687845013081,75.4027033720078,P51500000376,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
ANAND NAGAR,SURVEY NO 71/1/5,Not Available,Not Available,20.260735,73.005242,P49600000017,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
Bloomdale Row House 6,17 Part 18 Part 19 Part 26 Part 27 Part 28 29 Part 30 Part 31 Part 35 Part 36 Part 39 Part ,Wardha Road MIHAN,Khapri,21.04159,79.037499,P50500007914,Khapari,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441108,
FORTUNE PARK,GUT NO 104 ,SATARA,SATARA,19.845588,75.340503,P51500010032,Satara (CT),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431002,
TIRUPATI HOMES,"75/3K,75/3B,75/3D,75/3F",MEHKAR,MEHKAR,20.147854,76.583223,P50000002097,Mehkar (M Cl),Mehkar,Buldana,Amravati,MAHARASHTRA,443301,
Bloomdale Row House 7,17 Part 18 Part 19 Part 26 Part 27 Part 28 29 Part 30 Part 31 Part 35 Part 36 Part 39 Part ,Wardha Road MIHAN,Kahpri,21.04152,79.037848,P50500008161,Khapari,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441108,
SAI ASPIRE,PLOT NO.131 CTS No. 17182  ,NEW OSMANPURA ROAD,AURANGABAD,19.8667570456654,75.3287320996933,P51500002358,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431005,
Dhangra Residency C1 C2 F,146/2,Village Kadaiya,"Nani Daman

",20.4516976,72.8555887,P49500000034,Not Available,Daman,Daman,DAMAN & DIU,DAMAN & DIU,396210,
Bloomdale Duplex Home 3,17 Part 18 Part 19 Part 26 Part 27 Part 28 29 Part 30 Part 31 Part 35 Part 36 Part 39 Part ,Wardha Road MIHAN,Kahpri,21.042617,79.036669,P50500007843,Khapari,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441108,
GREEN PARK,"PLOT NO. 13, SHEET NO. 24",Not Available,Not Available,21.0494858,79.043318,P50300011197,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444601,
HARI SPARSH II,"S NO 306/1A/5, PLOT NO 11,12",Not Available,Not Available,21.0494858,79.043318,P51600000119,Bhagur Rural,Nashik,Nashik,Nashik,MAHARASHTRA,422502,
R M Dhariwal Township Tuljapur Plotting,S NO 185, Tuljapur Latur State Highway,Tuljapur,18.008713,76.078875,P52500009575,Tuljapur (M Cl),Tuljapur,Osmanabad,Aurangabad,MAHARASHTRA,413601,
NIRMAN DWARKAPURAM,408/2/1/A/B/C,MUMBAI-AGRA ROAD,DWARKA ANNEX,20.0011634216712,73.8017542233704,P51600001184,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422011,
RASHI TRINITY,"SURVEY NO. 29/3, PLOT NO. 1",Not Available,Not Available,20.895354,77.74445,P50300007591,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444605,
Bloomdale Duplex Home 4,17 Part 18 Part 19 Part 26 Part 27 Part 28 29 Part 30 Part 31 Part 35 Part 36 Part 39 Part ,Wardha Road MIHAN,Khapri,21.042697,79.036149,P50500007215,Khapari,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441108,
Bloomdale Duplex Home 6,17 Part 18 Part 19 Part 26 Part 27 Part 28 29 Part 30 Part 31 Part 35 Part 36 Part 39 Part ,"Wardha Road, MIHAN",Khapri,21.042301,79.037457,P50500009336,Khapari,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441108,
GANESH SOCIETY PHASE 1,23/2/1/1,Not Available,Not Available,21.0494858,79.043318,P49600000012,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
Adinath Suvastu,Gut No 57P Plot No 3,Not Available,Not Available,21.0494858,79.043318,P51500005255,Satara (CT),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431007,
PANDIT CORNER,GUT NO.106/1 PLOT NO. 31 NIMKHEDI SHIVAR JALGAON,Not Available,Not Available,21.0494858,79.043318,P49900000250,Jalgaon (M Corp.),Jalgaon,Jalgaon,Nashik,MAHARASHTRA,425001,
SHREE GURU PUSHP AMRUT PARIWAR,PLOT NO. 26B 27A 27B 28A 28B,Not Available,Not Available,21.0494858,79.043318,P50300010072,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444603,
"Niketan Dreams Building 2 - Wing C,D and Building 3 Wing E","417/5, 418/1, 418/2 and 419/2",Dunetha Main Road,Dunetha,20.3973736,72.8327991,P49500000038,Not Available,Daman,Daman,DAMAN & DIU,DAMAN & DIU,396210,
VEDANT PERIDOT,"PLOT NO 2, CTS NO 1949, SHEET NO 88/71, MOUZA AMBAZARI",Not Available,Not Available,21.1157472,79.0447306,P50500009166,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440022,
JANKI RESIDENCY,PLOT NO 10 S/NO 162/1 A 162/1 B AND 163/2 ,Not Available,Not Available,19.8787869,75.365128,P50300008578,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444606,
SAI SANKUL PHASE-II,"PLOT NO 50, 51 GUT NO 1/117",Not Available,Not Available,19.884216,75.391297,P51500004795,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431003,
Nayantara Presidency Phase 1,881/1A/1,pethe nagar,Bombay Agra Highway,19.972880004824,73.7754421287243,P51600000245,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422002,
SIDDHI TOWER,SURVEY NO 91/1/2,DAYAT FALIYA,OPP FIRE STATION SILVASSA,20.285803,72.995086,P49600000034,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
VEDANT EMERALD PHASE 2,"PLOT NO 100-101, CTS NO 24, SHEET NO 257/4, MOUZA SONEGAON",Not Available,Not Available,21.101171,79.047829,P50500012141,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440022,
Aaradhya Residency,"Plot no 1 Sno 84,125/A,125/B",Not Available,Not Available,21.1157472,79.0447306,P52200000608,Ahmadnagar (M Corp.),Nagar,Ahmednagar,Nashik,MAHARASHTRA,414001,
Chhoriya Township Plotting Layout Paranda,S No 12/2 At Paranda,Paranda  To  Ruee  Road,Paranda,21.1157472,79.0447306,P52500009268,Paranda (rural),Paranda,Osmanabad,Aurangabad,MAHARASHTRA,413502,
KALPATARU RESIDENCY,SURVEY NO 186 AND 187/1,Not Available,Not Available,21.1157472,79.0447306,P49600000026,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
SHAYONA ORNATE,"SURVEY NO 77/1 , 77/2/1 , 85/1 AND 85/2",KILVANI ROAD,SILVASSA,19.8505,75.3521,P49600000035,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
JOG CHARITABLE MEDICAL RELIF FUND HOSPITAL AND RACHANASHRI COMMERCIALS,PLOT NO 67 SHEET NO 68 B,Opposite Amravati Tahashil Office,Amravati City.,19.8505,75.3521,P50300004928,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444601,
Sai Bhadra Residency,CTS No 12486/13  12486/17 Plot no 45  46,Not Available,Not Available,19.879514,75.348259,P51500001293,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431005,
Nayantara Presidency Phase 2,881/1A/1,Mumbai Agra highway,Rajiv nagar,19.9723969312418,73.7756613247459,P51600000079,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422002,
Nayantara Presidency Phase 3,881/1A/1,Mumbai Agra highway,Rajiv nagar,19.9728694746239,73.7758046324527,P51600000133,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422002,
"Construction of 42 MIG Ts at Surabardi S.No.20/1,20/2",20/1 and 20/2,Not Available,Not Available,21.1443791,78.9429666,P50500000920,Surabardi,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,440023,
Evergreen Heights,CTS No.185,Not Available,Not Available,19.206852,73.014004,P51700000095,Thane (M Corp.),Thane,Thane,Konkan,MAHARASHTRA,400605,
Nayantara Presidency Phase 4,881/1A/1,Mumbai Agra highway,Rajiv nagar,19.9729699181487,73.7752727151585,P51600000098,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422002,
SHIVNERI FORT,"PLOT NO.18, Survey no. 149/2",Not Available,Not Available,20.71888,78.569747,P50400000911,Sawangi (Meghe) (CT),Wardha,Wardha,Nagpur,MAHARASHTRA,442001,
HARIKUNJ,PLOT NO. 1,Not Available,Not Available,19.727808,75.29935,P51500000992,Farola,Paithan,Aurangabad,Aurangabad,MAHARASHTRA,431105,
PRIDE PHOENIX BUILDING D,PLOT 1 -2 GUT NO 736,Jalna Road,Chikalthana,19.8690115303138,75.4035938654007,P51500000852,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
Shree Hari Commercial Building Phase 1,Survey No. 65/3U1,Opposite OIDC Industrial Estate,Ringanwada,20.2417478,72.521616,P49500000043,Not Available,Daman,Daman,DAMAN & DIU,DAMAN & DIU,396210,
"BLOCK E, SRI RESIDENCY","SURVEY NO 153/1/18/2/3, 159/1/1/1, 160, 158/1, 159/1/1/P/1",Not Available,Not Available,20.262783,72.997303,P49600000046,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
Anirudh Residency,"11 and 12 and S. No. 26-1, 27-2",Not Available,Not Available,21.110587,79.113981,P50500000760,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440024,
PURVA RESIDENCY CONDOMINIUM,SURVEY NO. 181/1-A,Not Available,Not Available,21.1291499,79.1153367,P50300008611,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444604,
PRIDE PHOENIX BUILDING B1-B2,PLOT 1 -2 GUT NO 736,Jalna Road,Chikalthana,19.8690619811597,75.4026872787537,P51500000331,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
R M Dhariwal Township Wardha Plotting,"S No 44/1 , 44/2, 44/3",Pandhan To  Dattapur To  Pavnar Road,Wardha - Bhivapur,20.770323,78.635232,P50400009975,Bhiwapur (534083),Wardha,Wardha,Nagpur,MAHARASHTRA,442111,
UTTARA RESIDENCY CONDOMINIUM,SURVEY NO 183/1 A PLOT NO 4,Not Available,Not Available,20.7726632,78.632781,P50300006488,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444604,
MADHOORS ANANDAM,"38/A/1/1, 38/B, 38/C",Nasik Pune Road,Dwarka,18.4740393,73.9778634,P51600001270,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422401,
Park Infinia Phase III,"214, 220, 221",Pune Saswad Road,Fursungi,18.4863062837208,73.9593421154831,P52100000084,Fursungi,Haveli,Pune,Pune,MAHARASHTRA,412308,
CASA LOTUS,6/334/1,Not Available,Not Available,21.085167,78.970715,P50500002363,Wanadongri,Hingna,Nagpur,Nagpur,MAHARASHTRA,441110,
"The Trees, Residential Phase 1",51/B,Pirojshanagar,Vikhroli East,19.093341,72.920127,P51800000165,Kurla,Kurla,Mumbai Suburban,Konkan,MAHARASHTRA,400079,
"Construction of 320 flats under HIGHS at MHADA City Empress Mill No.-5, Subhash Road, Nagpur. Ph I","101, 154, 155, 159",Not Available,Not Available,19.1025427,72.9254307,P50500012639,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440001,
PRIDE PHOENIX BUILDING C1-C2,PLOT 1 -2 GUT NO 736,Jalna Road,Chikalthana,19.8690922516598,75.4031217966141,P51500000337,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
Madhoor Maitri,"S NO 25/11, PLOT NOS 12, 14, 15 AND 16",Near Vanvihar Colony,Mahatma Nagar,20.002778,73.749206,P51600001608,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422007,
VIMACO RESIDENCY II,"PLOT NO. 20/1, SHEET NO. 13",Not Available,Not Available,20.862521,77.735584,P50300004204,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444601,
SHIVAJI ENCLAVE - 2,"PLOT NO. 1 , 2 , S. NO. 31/1, MAUJE AKOLI AMRAVATI",AMRAVATI,AMRAVATI,20.894455,77.728813,P50300008036,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444607,
PIONEER TULIP,PLOT NUMBER 9- CTS 648 MOUZA JAITALA,Not Available,Not Available,21.10653,79.022042,P50500000300,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440016,
VENKATESHWARA GREENS,"4/1,4/3,4/4,4/5, KHOPEGAON,TQ.LATUR,DIST.LATUR",Not Available,Not Available,18.371789,76.560388,P52400001029,Khopegaon,Latur,Latur,Aurangabad,MAHARASHTRA,413531,
THE PALMS,Plot No- 14,Sector-50,Nerul,19.00971,73.01719,P51700000006,Navi Mumbai (M Corp.),Thane,Thane,Konkan,MAHARASHTRA,400706,
HARI AAKRUTI,"S No 484/3/1/2, Plot No 2,3,4,5",Bhabha Nagar,Kathe Galli,19.989739,73.795824,P51600000423,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422011,
LAIJAI NAGARI,14 B,Not Available,Not Available,19.178857,77.265553,P51100005371,Wadi Bk.,Nanded,Nanded,Aurangabad,MAHARASHTRA,431605,
"EMPRESS ROYAL A, B, C, D",101/2,Not Available,Not Available,21.147623,79.09279,P50500011007,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440018,
THE EMPIRE MALL,5/5A  5/5B,Not Available,Not Available,20.916232,77.753159,P50300010282,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444601,
EMPRESS DREAMS ,102/2,Not Available,Not Available,21.147368,79.092165,P50500012169,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440018,
PREET TOWER,GUT NO 99 PART,SHENDRA,SHENDRA,19.86343,75.477623,P51500002176,Shendra Kamangar,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431154,
HARI VASANT,"S No 4/2A,4/1B AND 4/2B/2",AASARAM BABU ASHRAM,GANGAPUR ROAD,20.0198515207585,73.7524506755326,P51600000534,Aanandwali,Nashik,Nashik,Nashik,MAHARASHTRA,422005,
EMPRESS ROYAL EFGH,101/2,Not Available,Not Available,21.147725,79.094756,P50500009773,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440018,
Golden Eye,394/395,Not Available,Not Available,19.6974548,72.7141496,P99000003915,Shirgaon ,Palghar,Palghar,Konkan,MAHARASHTRA,401407,
SAI HEIGHTS,"SURVEY NO. 15, PLOT NO. 36",Not Available,Not Available,20.950434,77.765658,P50300002270,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444603,
ORCHID,"PLOT NO. 30 ,31, 15840/90  , 15840/91",Not Available,Not Available,18.6277764,74.172438,P51500001044,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
SQUARE PARK 1,3960 2 1,Not Available,Not Available,18.67574,74.144078,P52100008111,Talegaon Dhamdhere,Shirur,Pune,Pune,MAHARASHTRA,412208,
ADARSH NIVARA,Plot No 147 148 149 S.No.110/1 A 110/1 B 110/1 110/2 110/3 110/4 111/1 111/2,Delhi gate to Court road,Choupatty Karanja,19.095923,74.732799,P52200001520,Ahmadnagar (CB),Nagar,Ahmednagar,Nashik,MAHARASHTRA,414001,
Kotak Royale,94/1 125/1,Tembhode Road,Tembhode,19.6935581,72.7655184,P99000017141,Palghar ,,Palghar,Palghar,Konkan,MAHARASHTRA,401404
PARIJAT SAHNIWAS,"SURVEY NO.733/2A/50 TPS-II,Plot No.87, FINAL PLOT NO.487",Not Available,Not Available,20.002731,73.755499,P51600005366,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422005,
ORION VILLA - P1,"22/2 , 27/4/1/1",NAROLI CHAR RASTA,DHAPSA VILLAGE,20.2810282,72.943261,P49600000039,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396235,
Construction of 240 T/S under LIG,116/ 1 to 5,Not Available,Not Available,21.1474483,78.9684057,P50500000792,Waddhamna,Hingna,Nagpur,Nagpur,MAHARASHTRA,440023,
SHRIRAM PARK,40,Not Available,Not Available,21.1474483,78.9684057,P51500000615,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431002,
SILVER PEARLSS,PLOT NO  1 CTS No. 15735-30-02,Not Available,Not Available,19.8505,75.3521,P51500001320,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431005,
SKY HEIGHTS,227/2/69/1 233/1/3,Not Available,Not Available,20.282701,72.989957,P49600000040,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
ORACLE LUXURIA,"NAZUL SHEET NUMBER 45D,PLOT NUMBER 11",Not Available,Not Available,20.413071,78.138157,P51000002580,Yavatmal (M Cl),Yavatmal,Yavatmal,Amravati,MAHARASHTRA,445001,
ORION IMPERIA,"732/1 , 732/3 , 732/4",Naroli Char Rasta,Naroli,20.276677,72.942534,P49600000043,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396235,
BALAJI,"12/1,12/2 AMALGAMATED PLOT NO 303 TO318",Not Available,Not Available,20.8812848,79.3113457,P50500011849,Bareja (ri),Umred,Nagpur,Nagpur,MAHARASHTRA,441203,
CHIRAG CITY,"3/1 PLOT NO 1,2,3",Not Available,Not Available,20.8812848,79.3113457,P50300010045,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444606,
HARI VATIKA,"S NO 14C/B/1 , PLOT NO 9",Not Available,Not Available,20.8812848,79.3113457,P51600000220,SANSARI,Nashik,Nashik,Nashik,MAHARASHTRA,422401,
VARDHMAN EMPIRE,"138, 153",1ST DOMINIC LANE,ORLEM,19.195547,72.839962,P51800006315,Borivali,Borivali,Mumbai Suburban,Konkan,MAHARASHTRA,400067,
krishnakunj phase - I,14277/106,Not Available,Not Available,19.2072366,72.8348221,P51400001484,Jalna (M Cl),Jalna,Jalna,Aurangabad,MAHARASHTRA,431203,
PATNI COMMERCIAL COMPLEX PHASE-4,324/3 to 324/13 and 325/2/1-2 and 325 2a,Not Available,Not Available,20.111128,77.126991,P50200003441,Washim (M Cl),Washim,Washim,Amravati,MAHARASHTRA,444505,
